test:semantic-coach-revision-proposal	0
test:semantic-program-edit-draft-behavior-matrix	0
test:semantic-program-edit-draft	0
test:training-logging	0
test:week-plan-q-a-metadata	0
test:workout-log-progression-wiring	0
test:coach-interpretation-receipt	0
test:coach-revision-override-writer	0
test:coach-week-diff	0
test:edge-generation-equipment	1
test:repo-law-guards	1
test:my-status-modifiers	0
test:coach-note-action-source	0
test:program-tab-read-only-modifiers	0
test:profile-rehydration-cannot-unfinish	0
test:block-override	0
test:computed-must-be-consumed	0
test:feature-registry	0
test:ui-picture-manifest	0
test:dead-affordances	0
test:off-feet-walking	0
test:durable-write-silence	0
test:maestro-element-contract	1
test:dev-e2e-seeds	1
test:dev-e2e-witnesses	1
test:dev-e2e-entry	0
test:dev-e2e-reset-hydration	0
test:dev-e2e-scenario-session	1
test:approved-icons	0
test:preference-shape	0
test:generated-week-assembly	1
test:law-registry	1
test:scenarios	0
test:scenarios:golden	0
test:scenarios:verbose	0
test:qa	1
test:bounds	0
test:bible:parallel	2
test:bible:serial-set	2
test:strength-progression-integration	0
test:programming-hierarchy	0
test:session-classification	1
test:generation-classification	1
test:week-validator	1
test:stress-placement	1
test:game-local-rebuild	1
test:fixture-conditioned-replan	1
test:fixture-mutation-transaction	1
test:coach-fixture-change	0
test:coach-fixture-reply-observation	0
test:chained-mutation-continuity	1
test:week-rebuild	1
test:block-state	1
test:block-rollover	1
test:athlete-journey	0
test:block-two-progression	0
test:block-two-difficult-missed	0
test:block-two-screen-delivery	0
test:exercise-exclusions	0
test:block-two-ladder	1
test:block-two-extra-session	1
test:block-two-boot-preservation	0
test:anchor-participation-owner	1
test:strength-progression-inputs	0
test:conditioning-progression-inputs	0
test:weekly-readiness	0
test:finisher-eligibility	1
test:variation	1
test:conditioning-rotation	1
test:conditioning-equipment-consistency	1
test:coach-prompt	0
test:injury-guard	0
test:injury-client-guard	0
test:injury-engine	1
test:adjustment-engine	1
test:apply-events	1
test:uae-flow	1
test:pending-injury	0
test:coach-injury-integration	1
test:visible-diff	0
test:coach-updates	1
test:injury-progression	0
test:coach-injury-contracts	0
test:temporary-source-facts	0
test:injury-severity-bands	0
test:resolver-injury	0
test:coach-intent	0
test:llm-classifier	0
test:pipeline-instrumentation	0
test:athlete-action-trace-v2	0
test:athlete-action-artifacts	0
test:explorer-scenario-contracts	0
test:explorer-runtime	1
test:explorer-active-time-budget	0
test:explorer-action-ingress	0
test:explorer-production-bindings	0
test:explorer-render-bindings	1
test:explorer-scenario-runner	1
test:explorer-live-wiring	1
test:explorer-oracles	0
test:explorer-scenario-artifacts	1
test:explorer-physical-evidence-acknowledgement	0
test:explorer-physical-evidence	0
test:explorer-live-runner	1
test:explorer-launch-ownership	0
test:explorer-campaign-bootstrap	0
test:explorer-native-launch-diagnostic	0
test:persistent-injury	0
test:coach-orchestration	1
test:coach-live-wiring	1
test:injury-canonicalisation	1
test:train-around-engine	1
test:exposure-engine	1
test:pending-injury-priority	0
test:reset-coach	0
test:constraint-summary	0
test:weekly-coach-update	0
test:constraint-plan	0
test:coach-constraint-producers	1
test:coach-live-path-v2	1
test:coach-truth-gate	0
test:constraint-resolution	0
test:coach-note-display	1
test:session-components	1
test:session-feedback-form	1
test:session-outcome-parity	1
test:session-logging-ui	0
test:session-naming	1
test:strength-intent	1
test:generated-program-normalizer	1
test:env-config	0
test:app-date	0
test:logger	0
test:request-program-adjustment	0
test:dev-onboarding-skip	0
test:dev-e2e-clock	1
test:dev-e2e-metro-isolation	1
test:dev-e2e-default-installation	1
test:dev-e2e-testids	1
test:accessibility-contracts	1
test:onboarding-cold-start	1
test:program-hydration-ownership	1
test:welcome-dev-skip-contract	0
test:in-season-midweek-row	1
test:coach-reference-resolver	0
test:coach-live-modality-path	0
test:modality-preference	1
test:modality-preference-verification	0
test:coach-program-edit	0
test:plan-change-producer	1
test:coach-program-setup-edit	1
test:coach-command-router	1
test:coach-pending-clarifier	0
test:coach-live-readiness-priority	0
test:coach-behaviour-scenarios	0
test:coach-bike-subtype	0
test:coach-live-bike-audit	0
test:smoke-coach-bike-flow	0
test:coach-live-send-context	0
test:readiness	1
test:strength-sequencing	1
test:weekly-spacing	1
test:preseason-subphase	1
test:preseason-exposure	1
test:tap-swap-hierarchy	1
test:poor-sleep	1
test:testing-bias	1
test:missed-session-prompt	0
test:session-execution	0
test:mobility-flow	0
test:generation-anchor-stamp	0
test:fixture-settle-after-setup	1
test:results-persist	0
test:action-walker:extended	1
test:modifier-effect-phrases	0
test:composer-b1	1
test:generated-week	0
test:composer-severance	1
test:weekly-scheduler	0
test:anchor-survival	0
test:weekday-index	0
test:cyclic-proximity	0
test:clause-enforcement	1
